Area,Parent,Name,Route,Type,Params,Entry Points,Secondary Entries,Auth,Context,Purpose,Functionality,Actions,Tabs,Modals,Data Source,Backend,Status,Visibility,Source File,Route File,Notes,Matrix Row ID,PP Equivalent Name,PP Route(s) Today,PP Route Exists,PP Source File(s),PP Nav Entry Point,PP Auth / Role Gate,PP Data Source,PP Backend Endpoint / Function,PP Backend Connected,PP Functional Status,Match Status,Match Confidence,UI Parity,Functional Parity,Route Decision,Target PP Route (Decided),Naming Decision (Label To Use),Nav Placement Decision,Deep Link Pattern,Lovable-Only Feature,Fake-Backend Risk,Preserve-PermitPilot-Logic Notes,Do-Not-Replicate Reason,Required Backend Work,Required Frontend Work,Blocking Dependencies,Priority,Risk,Effort,Phase,Acceptance Criteria,Test / Verification Hook,Owner Decision Needed,Audit Notes
Field,SIR,SIR Sync,/sir/sync,static,none,direct URL,—,signed-in,none,Sync field evidence,Sync,submit,—,—,static mock,Mock,Mock,direct URL only,src/pages/SirSync.tsx,src/App.tsx,—,L061,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.","Do not build the SIR sync. Explicitly out of scope. Directive: 'Do NOT replicate as fake backends: ... SIR/Field mobile packs'. PermitPilot has no site-investigation domain, no offline sync and no field evidence storage.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Whole SIR family is mock in Lovable and has no PermitPilot counterpart.
Field,—,Field Studio,/field/studio,static,none,direct URL,—,signed-in,none,Field content authoring,Edit,edit,—,—,static mock,Mock,Mock,direct URL only,src/pages/FieldStudio.tsx,src/App.tsx,—,L062,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Part of the excluded SIR/Field mobile pack.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable page is mock.
Field,—,Mobile Survey,/mobile/survey,static,none,direct URL,—,signed-in,none,Mobile survey entry,Enter data,create,—,—,local state,UI only,Mock,mobile only,src/pages/MobileSurvey.tsx,src/App.tsx,—,L063,PWA / Capacitor mobile shell (no field surfaces),— (none),No,capacitor.config.ts; src/components/pwa/InstallPrompt.tsx; src/components/pwa/OfflineIndicator.tsx,Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,"Mobile shell real, field surfaces absent",Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Part of the excluded field mobile pack; Lovable's version keeps entries in local state only.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,"PermitPilot already ships a real mobile shell (Capacitor config, PWA install prompt, offline indicator), so mobile capability is not the gap — the missing part is the field data domain."
Field,—,Mobile Camera,/mobile/camera,static,none,direct URL,—,signed-in,none,Photo capture,Capture,upload,—,—,local state,UI only,Mock,mobile only,src/pages/MobileCamera.tsx,src/App.tsx,—,L064,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Lovable's camera page persists nothing; capturing photos with no storage would silently lose evidence.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,"PermitPilot already ships a real mobile shell (Capacitor config, PWA install prompt, offline indicator), so mobile capability is not the gap — the missing part is the field data domain."
Field,—,Mobile Map,/mobile/map,static,none,direct URL,—,signed-in,none,Mobile map,View,view only,—,—,static,UI only,Mock,mobile only,src/pages/MobileMap.tsx,src/App.tsx,—,L065,"Jurisdiction Map (responsive, serves mobile)",/jurisdictions/map,No,src/pages/JurisdictionMapPage.tsx,Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Existing map is responsive,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build a mobile-only map. Make /jurisdictions/map responsive instead (covered by L046).,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,Low,S,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Consolidating on one map avoids two divergent map implementations.
Closeout,—,Closeout,/closeout,static,none,direct URL,—,signed-in,none,Project closeout hub,View,navigate,—,—,static mock,Mock,Mock,direct URL only,src/pages/Closeout.tsx,src/App.tsx,—,L066,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.","No PermitPilot closeout hub exists. PermitPilot has no closeout domain: no closeout state, no archive model and no post-mortem records. Lovable's entire closeout hierarchy is mock.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,"Needs a closeout domain and, for the financial views, a cost model.",P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable's closeout tree aggregates nothing; there is no upstream data to aggregate in PermitPilot either.
Closeout,Closeout,Closeout Archive,/closeout/archive,static,none,direct URL,—,signed-in,none,Archive,Browse,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/CloseoutArchive.tsx,src/App.tsx,—,L067,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.","No PermitPilot closeout archive exists. PermitPilot has no closeout domain: no closeout state, no archive model and no post-mortem records. Lovable's entire closeout hierarchy is mock.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,"Needs a closeout domain and, for the financial views, a cost model.",P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable's closeout tree aggregates nothing; there is no upstream data to aggregate in PermitPilot either.
Closeout,Closeout,Closeout Tracker,/closeout/tracker,static,none,direct URL,—,signed-in,none,Closeout tracker,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/CloseoutTracker.tsx,src/App.tsx,—,L068,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.","No PermitPilot closeout tracker exists. PermitPilot has no closeout domain: no closeout state, no archive model and no post-mortem records. Lovable's entire closeout hierarchy is mock.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,"Needs a closeout domain and, for the financial views, a cost model.",P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable's closeout tree aggregates nothing; there is no upstream data to aggregate in PermitPilot either.
Closeout,Closeout,Post-Mortem,/closeout/post-mortem,static,none,direct URL,—,signed-in,none,Post-mortem hub,View,navigate,—,—,static mock,Mock,Mock,direct URL only,src/pages/PostMortem.tsx,src/App.tsx,—,L069,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.","No PermitPilot post-mortem hub exists. PermitPilot has no closeout domain: no closeout state, no archive model and no post-mortem records. Lovable's entire closeout hierarchy is mock.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,"Needs a closeout domain and, for the financial views, a cost model.",P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable's closeout tree aggregates nothing; there is no upstream data to aggregate in PermitPilot either.
Closeout,Post-Mortem,Post-Mortem Analytics,/closeout/post-mortem/analytics,static,none,direct URL,—,signed-in,none,Analytics,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/PostMortemAnalytics.tsx,src/App.tsx,—,L070,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.","No PermitPilot post-mortem analytics exists. PermitPilot has no closeout domain: no closeout state, no archive model and no post-mortem records. Lovable's entire closeout hierarchy is mock.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,"Needs a closeout domain and, for the financial views, a cost model.",P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable's closeout tree aggregates nothing; there is no upstream data to aggregate in PermitPilot either.
Closeout,Post-Mortem,Post-Mortem Financial,/closeout/post-mortem/financial,static,none,direct URL,—,signed-in,none,Financial impact,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/PostMortemFinancial.tsx,src/App.tsx,—,L071,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.","No PermitPilot post-mortem financial exists. PermitPilot has no closeout domain: no closeout state, no archive model and no post-mortem records. Lovable's entire closeout hierarchy is mock.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,"Needs a closeout domain and, for the financial views, a cost model.",P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,Lovable's closeout tree aggregates nothing; there is no upstream data to aggregate in PermitPilot either.
Resources,—,Checklists,/checklists,static,none,sidebar → Resources › Checklists,direct URL,signed-in,none,Checklist history,View,view only,—,—,static mock,Mock,Mock,always visible,src/pages/Checklists.tsx,src/App.tsx,—,L072,Checklist History,/checklists (alias /checklist-history),Yes,src/pages/ChecklistHistory.tsx,Sidebar → Checklists,Signed-in via ProtectedLayoutRoute,"Supabase checklist runs, reports and signatures (real)",send-checklist-report; process-scheduled-checklist-reports; send-checklist-signed-notification; send-test-scheduled-report; retry-failed-report-emails,Yes,Working,Strong functional match,High,Partial — Lovable's list styling is the target,"PermitPilot is far ahead — Lovable browses mock checklists; PermitPilot has real runs, scheduled report delivery and signature notifications",Keep PP route,/checklists,"Keep ""Checklists""",Resources group in the sidebar,/checklist-history is an existing alias of the same page,No,Low — the underlying data is real,"Preserve scheduled report processing, email delivery, retry handling and signed-checklist notifications. These run on schedules; do not disturb their triggers.",Do not fabricate checklist history entries.,None.,Adopt Lovable's checklist list and status styling.,None.,P1,Low,M,Phase 4 — delivery and intelligence surfaces,Checklist list restyled over real runs; both route aliases resolve; scheduled report functions untouched.,Manual visit to /checklists and /checklist-history; confirm no changes under supabase/functions,No,src/App.tsx lines 161-162 map both routes to ChecklistHistory.
Resources,—,Reference Library,/reference,static,none,sidebar → Resources › Reference Library; Help & Support › Documentation,direct URL,signed-in,none,Reference hub,Browse docs,navigate,—,—,static,UI only,Working,always visible,src/pages/ReferenceLibrary.tsx,src/App.tsx,—,L073,Code Reference Library,/code-reference,Yes,src/pages/CodeReferenceLibrary.tsx,Sidebar → Code Reference,Signed-in via ProtectedLayoutRoute,Curated code reference content + context-reference-engine citations,context-reference-engine,Partial,Working,Partial match,Medium,"Partial — both are reference hubs; PermitPilot's is code-specific, Lovable's is a general doc index",PermitPilot is ahead — its reference content feeds grounded response citations,Fold into existing PP surface,/code-reference,"Keep ""Code Reference""; do not add a generic ""Reference Library"" hub",Resources group in the sidebar,n/a,No,Low,Preserve the citation linkage used by generate-grounded-response and context-reference-engine.,Do not add a parent /reference hub page that only links onward.,None.,Adopt Lovable's reference-card and search styling.,None.,P2,Low,S,Phase 5 — admin and settings surfaces,Code reference browsing and citation links still work with the new styling.,Manual visit to /code-reference; verify a grounded response citation resolves,No,src/App.tsx line 131.
Resources,Reference,Utility Coverage,/reference/utility-coverage,static,none,sidebar → Resources › Utility Coverage,direct URL,signed-in,none,Provider coverage matrix,Browse,view only,—,—,src/data/utilityProviders.ts,UI only,Working,always visible,src/pages/UtilityCoverage.tsx,src/App.tsx,Reference data with caveat.,L074,Utility territory datasets (surfaced via the map),/jurisdictions/map,"Partial — data exists, no coverage table page",src/pages/JurisdictionMapPage.tsx; scraper-service/data/territory/electric-full-v2/utilities_by_state.json; county_utility.json,Sidebar → Jurisdiction Map,Signed-in via ProtectedLayoutRoute,"Real territory GeoJSON, county-utility reconciliation and footprint validation reports across 19 states",scraper-service territory datasets,Yes,"Data real, no coverage table",Partial match,High,Weak — no tabular coverage view,PermitPilot is ahead on data; behind on the tabular presentation,Fold into existing PP surface,/jurisdictions/map (coverage table as a panel),"Use ""Utility Coverage"" for the panel heading",Panel on the Jurisdiction Map page; no separate route,n/a,Yes,"Low — coverage claims must come from the reconciliation reports, which exist",Preserve the reconciliation and footprint validation datasets as the single source for coverage claims.,Do not publish coverage claims that the reconciliation reports do not support.,None — utilities_by_state.json and county_utility.json already back a coverage table.,Add a coverage table panel to the map page reading the existing datasets.,None.,P2,Medium,M,Phase 6 — structural follow-ups,Any coverage figure shown traces to a reconciliation report file; no separate /reference/utility-coverage route added.,node --test scraper-service/tests (county reconcile suites),No,Coverage claims are client-visible; they must stay tied to the validation reports.
Resources,Reference,Glossary,/reference/glossary,static,none,sidebar → Resources › Glossary,direct URL,signed-in,none,Terminology,Search terms,filter,—,—,static,UI only,Working,always visible,src/pages/Glossary.tsx,src/App.tsx,—,L075,Glossary (placeholder),/reference/glossary,Yes — placeholder page,src/pages/placeholders/GlossaryPlaceholder.tsx,Sidebar → Glossary,Signed-in via ProtectedLayoutRoute,None — labelled placeholder,None (static content by design once written),None,Placeholder (labelled),Partial match,High,Weak — the route matches but PermitPilot has no terms yet,Weak — Lovable has searchable static terms; PermitPilot has a placeholder,Keep PP route,/reference/glossary,"Keep ""Glossary""",Resources group in the sidebar,n/a,No,None — glossary content is legitimately static,Preserve the placeholder labelling until real terms are curated.,Do not copy Lovable's glossary terms verbatim without checking they match PermitPilot's actual vocabulary.,None — static content is appropriate here.,"Curate PermitPilot permitting and utility-coordination terms, then adopt Lovable's searchable list styling.",Needs someone to write the terms.,P3,Low,S,Phase 7 — documentation and polish,"Glossary shows real PermitPilot terminology with working search, or stays an explicit placeholder.",Manual visit to /reference/glossary,No,src/App.tsx line 164 uses GlossaryPlaceholder.
Resources,—,Analytics & Reporting,/portfolio/executive,static,none,sidebar → Resources › Analytics & Reporting,direct URL,signed-in,none,Executive portfolio KPIs,View charts,view only,—,—,static mock,Mock,Mock,always visible,src/pages/PortfolioExecutive.tsx,src/App.tsx,—,L076,Analytics,/analytics,Yes,src/pages/Analytics.tsx,Sidebar → Analytics,Signed-in via ProtectedLayoutRoute,"Real project, permit and cycle-time rollups",Supabase aggregate queries; export-weekly-report,Yes,Working,Strong functional match,High,Partial — Lovable's executive KPI and chart styling is the target,PermitPilot is far ahead — Lovable's executive KPIs are fabricated,Keep PP route,/analytics,"Use ""Analytics & Reporting"" as the nav label, pointing at /analytics",Resources group in the sidebar,n/a,No,High — executive charts are the easiest place to smuggle in invented numbers,Preserve every aggregate query and the weekly report export path.,Do not add a chart without a real query behind it.,None.,Adopt Lovable's executive KPI band and chart card styling.,None.,P1,Medium,M,Phase 4 — delivery and intelligence surfaces,Every restyled chart and KPI traces to a real aggregate query; weekly export still works.,Manual visit to /analytics with a demo account that has data; trigger export-weekly-report once,No,src/App.tsx line 124.
Resources,—,Messages,/messages,static,none,sidebar → Resources › Messages; Help & Support › Support,direct URL,signed-in,none,Message threads,View messages,view only,—,—,static mock,Mock,Mock,always visible,src/pages/Messages.tsx,src/App.tsx,Badge 4.,L077,Portal communications + transactional email (no message threads),/uci?section=communications,No — no message-thread surface,src/pages/UciDashboard.tsx (communications tab); supabase/functions/send-* (12 email functions),UCI sidebar → Communications,Signed-in; scoped per coordination record,Portal communications per record; email delivery logs,send-project-team-invitation; send-jurisdiction-notification; send-epermit-status-email; process-scheduled-notifications,Partial,Portal comms real; no threads,Backend match only,High,Weak — no thread list UI,"Partial — real outbound messaging, no threaded inbox",Defer,Undecided,n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — an empty inbox that looks functional would cause users to miss real portal messages,Preserve all transactional email functions and per-record portal communications.,Do not replicate Lovable's hard-coded badge of 4. A message badge must count real unread items or not exist.,"A message thread domain with participants, read state and notification fan-out.",None until threads exist.,Needs a messaging domain and a notification policy.,P3,Medium,L,Backlog,Not scoped. Requires a messaging domain.,n/a — nothing to test until scope changes,Yes — messaging is a significant product decision,Lovable's Messages badge of 4 is fabricated.
Settings,—,Settings,/settings,static,none,sidebar → Help & Support › Settings,avatar menu,signed-in,none,User settings,Update preferences,edit,—,—,local state,UI only,Placeholder,always visible,src/pages/Settings.tsx,src/App.tsx,—,L078,Settings,/settings,Yes,src/pages/Settings.tsx,Sidebar → Settings; avatar menu,Signed-in via ProtectedLayoutRoute,Supabase user profile and preferences (persisted),Supabase queries,Yes,Working,Strong functional match,Medium,Partial — Lovable's settings section layout is the target,PermitPilot is ahead — Lovable's settings are a client-only placeholder that persists nothing,Keep PP route,/settings,"Keep ""Settings""","Sidebar footer plus avatar menu, as today",n/a,No,Medium — do not add toggles that persist nowhere,"Preserve preference persistence, theme handling (ThemeProvider) and any notification settings already wired to Supabase.",Do not add a settings control without a persistence path; Lovable's placeholder pattern must not be copied.,None.,Adopt Lovable's settings section and form styling on the existing persisted fields.,None.,P1,Low,M,Phase 5 — admin and settings surfaces,Every visible setting round-trips to Supabase after restyling; theme switching still works.,Manual save-and-reload of each setting on Preview,No,"Settings.tsx contains 16 Supabase references, so preferences genuinely persist."
Administration,—,Admin Console,/admin,static,none,direct URL (role: admin),—,admin,none,Admin hub,Navigate to admin surfaces,navigate,—,—,static mock,Mock,Mock,role-based,src/pages/AdminConsole.tsx,src/App.tsx,—,L079,Admin Panel,/admin,Yes,src/pages/AdminPanel.tsx; src/components/admin/AdminLayout.tsx,Direct URL; admin nav,Signed-in admin area via AdminLayout,"Real admin data across jurisdictions, feature flags and shadow mode",Supabase admin queries; shadow-metrics; shadow-evaluator,Yes,Working,Strong functional match,High,Partial — Lovable's admin card grid is the target styling,"PermitPilot is ahead — it has real jurisdiction admin, feature flags and shadow-mode tooling",Keep PP route,/admin,"Keep ""Admin""",Admin area entry; not in the main sidebar for non-admins,"/admin/jurisdictions, /admin/feature-flags, /admin/shadow-mode",No,Medium — the console must not link to admin surfaces that are placeholders without labelling them,"Preserve AdminLayout gating and all real admin children (jurisdictions, feature flags, shadow mode).",Do not present placeholder admin children as live (see L080-L082).,None.,Adopt Lovable's admin card grid; label placeholder children explicitly.,None.,P1,Low,M,Phase 5 — admin and settings surfaces,Admin console restyled; real children unchanged; placeholder children visibly marked Preview.,Manual admin console smoke with an admin demo account,No,src/App.tsx lines 134-158. PermitPilot's admin tree differs from Lovable's substantially.
Administration,Admin,Authorizations,/admin/authorizations,static,none,AdminConsole card; direct URL,—,admin,none,Review LOA submissions,"Search, view, export CSV","review, export",—,Detail dialog,Supabase (client_authorizations),Fully connected,Working,role-based,src/pages/AdminAuthorizations.tsx,src/App.tsx,—,L080,Admin · Authorizations (Preview placeholder),/admin/authorizations,Yes — placeholder only,src/pages/placeholders/AdminPreviewPlaceholders.tsx,Admin console card,Signed-in admin area via AdminLayout,None — labelled Preview placeholder,None. There is no client_authorizations table in PermitPilot.,None,"Placeholder (labelled Preview only, PD-5)",UI match only,High,"Weak — the route exists but renders a Preview notice, not a review table",None — no authorization records exist to review,Keep PP route,/admin/authorizations,"Keep ""Authorizations"" with an explicit Preview badge","Admin console card, visibly marked Preview",n/a,No,"High — Lovable's version looks fully connected (search, detail dialog, CSV export) over a table PermitPilot does not have",Preserve the explicit 'Preview only (PD-5)' integration note. It is the guard against this being mistaken for live.,"Do not implement search, detail dialogs or CSV export here. Directive: admin LOA/members/audit are Preview placeholders in PermitPilot and are NOT fully connected despite Lovable showing them as connected.","A client_authorizations table with RLS, plus the L019 signing path, before any review UI.",Styling of the placeholder only. No functional controls.,Depends on L019 (LOA signing) and legal review.,P2,High,M,Blocked — placeholder styling only until L019 is approved,Page still renders the Preview notice; no export or detail control exists; the PD-5 note is visible.,Manual visit to /admin/authorizations; confirm the Preview note renders,Yes — blocked on the same legal decision as L019,src/App.tsx line 139 uses AdminAuthorizationsPlaceholder.
Administration,Admin,Members,/admin/members,static,none,AdminConsole card; direct URL,—,admin,none,Invite/approve members,"Invite, approve, reject, list","create, approve, reject","Invitations, Members, Pending",Invite dialog,"Supabase (workspace_invitations, user_roles)",Fully connected,Working,role-based,src/pages/AdminMembers.tsx,src/App.tsx,—,L081,Admin · Members (Preview placeholder over real role data),/admin/members,Yes — placeholder only,src/pages/placeholders/AdminPreviewPlaceholders.tsx (AdminPreviewPlaceholder),Admin console card,Signed-in admin area via AdminLayout,None on this page. PermitPilot's real data lives in user_roles and project invites.,"send-project-team-invitation (real, used elsewhere); user_roles (real)",None on this page,"Placeholder (labelled Preview only, PD-5)",Backend match only,High,Weak — Lovable has a three-tab invite/approve console; PermitPilot renders a Preview notice,"Partial — PermitPilot really does have roles and invitations, but not a workspace approval workflow",Keep PP route,/admin/members,"Keep ""Members"" with an explicit Preview badge","Admin console card, visibly marked Preview",n/a,No,High — approve/reject buttons that do not write would silently fail to grant or deny access,Preserve PermitPilot user_roles and project invites exactly as the placeholder note instructs. Do not migrate to a workspace_invitations model without an explicit decision.,"Do not implement invite, approve or reject actions here. Directive: treat as Preview only, not live workspace approvals.","A decision first: keep user_roles + project invites, or adopt a workspace membership model. Then RLS and audit writes.",Styling of the placeholder only. No functional controls.,Needs a membership model decision (user_roles vs workspace_invitations).,P2,High,M,Blocked — placeholder styling only until the membership model is decided,Page still renders the Preview notice; no approve/reject/invite control exists; user_roles and project invites unchanged.,Manual visit to /admin/members; confirm the Preview note renders,Yes — membership model decision required,src/App.tsx lines 140-148; the placeholder note explicitly says to keep user_roles and project invites until decided.
Administration,Admin,Audit Log,/admin/audit,static,none,AdminConsole card; direct URL,—,admin,none,Access audit,View + export,"view, export",—,—,Supabase (access_audit),Fully connected,Working,role-based,src/pages/AdminAuditLog.tsx,src/App.tsx,—,L082,Admin · Audit log (Preview placeholder),/admin/audit,Yes — placeholder only,src/pages/placeholders/AdminPreviewPlaceholders.tsx (AdminPreviewPlaceholder),Admin console card,Signed-in admin area via AdminLayout,None — no access_audit_log writers exist yet,None,None,"Placeholder (labelled Preview only, PD-5)",UI match only,High,"Weak — the route exists but renders a Preview notice, not a log table",None — nothing writes audit events yet,Keep PP route,/admin/audit,"Keep ""Audit log"" with an explicit Preview badge","Admin console card, visibly marked Preview",n/a,No,High — an empty audit log implies 'no suspicious activity' when the truth is 'nothing is being recorded',Preserve the 'Requires access_audit_log writers before export/filter are live' note.,"Do not implement view, filter or export here. Directive: Preview placeholder, not connected.","access_audit_log writers across auth, admin and data-access paths, then a read API with RLS.",Styling of the placeholder only. No functional controls.,Needs audit writers before any read surface.,P2,High,M,Blocked — placeholder styling only until audit writers exist,Page still renders the Preview notice; no filter or export control exists.,Manual visit to /admin/audit; confirm the Preview note renders,Yes — audit scope and retention need a decision,src/App.tsx lines 149-157; the placeholder note names the missing writers.
